popularity,song,file
26,What Can I Do for You? - Remastered,whatcani.txt
26,Covenant Woman - Remastered,covenant.txt
26,A Satisfied Mind - Remastered,troumind.txt
26,Rainy Day Women #12 & 35 - Remastered,rai12&35.txt
26,In the Summertime,insummer.txt
26,Up on Cripple Creek - Remastered,applesuck.txt
26,Sugar Baby,sugarbaby.txt
26,Like a Rolling Stone - Remastered,larollin.txt
26,Cry a While,cryawhile.txt
25,In Search of Little Sadie - Remastered,littlesadie.txt
25,Leopard-Skin Pill-Box Hat - Live from London 5/26/66,leopard.txt
25,Belle Isle - Remastered,bellisle.txt
25,Living the Blues - Remastered,livingthe.txt
25,One Too Many Mornings - Live from London 5/26/66,newmorning.txt
25,The Times They Are A-Changin' - Live,thingshave.txt
25,Joey - Live,joey.txt
25,"It's Alright, Ma (I'm Only Bleeding) - Live, Remastered",tonightill.txt
25,Just Like Tom Thumb's Blues - Live from Manchester 5/17/66,julittbl.txt
25,It Hurts Me Too - Remastered,ithurtsme.txt
25,Golden Loom,goldloom.txt
25,"Love Sick - Live, 2001",lovesick.txt
25,"Mama, You Been on My Mind - Live",mayuonmy.txt
25,Alberta #2 - Remastered,alberta.txt
25,Just Like a Woman - Live,jliwoman.txt
25,The Water Is Wide - Live,heartmine.txt
25,When the Night Comes Falling from the Sky - Remastered,somethingthere.txt
25,"It's Alright, Ma (I'm Only Bleeding) - Remastered",tonightill.txt
25,"Open the Door, Homer",opendoor.txt
25,"Tangled up in Blue - Live, Remastered",tangledup.txt
25,"Tattle O'Day - Unreleased, Self Portrait",tangledup.txt
25,"God Knows - Unreleased, Oh Mercy",godknows.txt
25,Sarah Jane - Remastered,sarahjane.txt
25,"Minstrel Boy - Unreleased, The Basement Tapes",minstrel.txt
25,Solid Rock - Remastered,solidrock.txt
25,"Tell Me, Momma - Live from Manchester 5/17/66",tellmema.txt
25,Just Like a Woman - Remastered,jliwoman.txt
25,Don't Ya Tell Henry,donttell.txt
25,Nothing Was Delivered,nothingdeliv.txt
25,Don't Ya Tell Henry,donttell.txt
25,"Going, Going, Gone - Live, Remastered",goinggoing.txt
25,"All I Really Want to Do - Live, Remastered",allireal.txt
25,Crash on the Levee,shotlove.txt
25,One More Cup of Coffee - Live,onemocoffee.txt
24,You Changed My Life,youchang.txt
24,Lenny Bruce,lennybruce.txt
24,In the Garden - Remastered,ingraden.txt
24,Catfish,catfish.txt
24,"Oh, Sister - Live, Remastered",ohsister.txt
24,I Don't Believe You (She Acts Like We Never Have Met) - Live from Manchester 5/17/66,ishallbereleased.txt
24,The Ballad of Ira Hayes - Remastered,wheelfire.txt
24,Take a Message to Mary - Remastered,timepassesslowly.txt
